KeyID,Name,Latitude,Longitude,Elevation
1,Pt_000001,51.5431264688,-56.0411971902,15
2,Pt_000002,51.5201167841,-55.971096174,23
3,Pt_000003,51.3592331207,-56.2300388602,50
4,Pt_000004,51.2178924934,-56.6195814386,75
5,Pt_000005,51.1456589963,-56.6741765089,54
6,Pt_000006,51.0432419304,-56.5527260658,104
7,Pt_000007,50.9828170619,-55.9826520076,83
8,Pt_000008,50.9697831151,-56.2580220445,122
9,Pt_000009,50.8530157374,-56.2174471775,20
10,Pt_000010,50.7905519781,-56.0458550777,134
11,Pt_000011,50.7227846105,-55.5973354798,65
12,Pt_000012,50.6211836604,-57.1000442518,36
13,Pt_000013,50.5930209255,-57.2684626809,29
14,Pt_000014,50.5617539496,-57.2183612069,54
15,Pt_000015,50.4841896318,-56.9405476546,343
16,Pt_000016,50.4063086845,-57.307848852,80
17,Pt_000017,50.3298526973,-57.4346306243,97
18,Pt_000018,50.2068984547,-56.9079958495,522
19,Pt_000019,50.0863424583,-57.3576906644,111
20,Pt_000020,49.8827382224,-56.7860026856,242
21,Pt_000021,49.8088345998,-57.0246826075,335
22,Pt_000022,49.6854032512,-56.2014071576,102
23,Pt_000023,49.6257220171,-54.5272690512,8
24,Pt_000024,49.6095441552,-56.2205262408,310
25,Pt_000025,49.6018514562,-57.5972617267,634
26,Pt_000026,49.5834988962,-56.5219692577,205
27,Pt_000027,49.5771050142,-56.7858775597,124
28,Pt_000028,49.5581893877,-57.7826184372,646
29,Pt_000029,49.5138019959,-55.3037171544,66
30,Pt_000030,49.4787377544,-55.2085398419,100
31,Pt_000031,49.3729885759,-57.6484254992,145
32,Pt_000032,49.360913419,-57.1817644276,81
33,Pt_000033,49.3600540686,-54.8590932442,5
34,Pt_000034,49.3503641875,-57.5244608396,326
35,Pt_000035,49.3244758446,-56.7039356161,209
36,Pt_000036,49.2985162918,-54.8793794061,24
37,Pt_000037,49.2699954731,-57.5701541693,272
38,Pt_000038,49.2448286385,-58.1629566332,88
39,Pt_000039,49.2137597786,-53.9235724967,63
40,Pt_000040,49.2024666585,-57.7781818089,186
41,Pt_000041,49.2019330932,-55.4710608234,89
42,Pt_000042,49.2001764987,-54.9758588417,42
43,Pt_000043,49.1950010681,-55.1458525345,74
44,Pt_000044,49.1542181666,-54.6621631519,47
45,Pt_000045,49.0876051617,-57.6665573087,243
46,Pt_000046,49.0702258878,-54.3699001027,122
47,Pt_000047,49.0547736035,-56.5264236884,358
48,Pt_000048,49.0156020793,-54.5246640421,55
49,Pt_000049,48.9917132074,-54.4885708182,113
50,Pt_000050,48.988430433,-56.3471340576,211
51,Pt_000051,48.9854294463,-56.1038359223,183
52,Pt_000052,48.9682866909,-55.1907378867,180
53,Pt_000053,48.9460122481,-56.9323992126,375
54,Pt_000054,48.9481879635,-55.1902236498,199
55,Pt_000055,48.8968985565,-56.3126453444,205
56,Pt_000056,48.8840164393,-55.9289745272,211
57,Pt_000057,48.8717520676,-56.2493451236,160
58,Pt_000058,48.8719433169,-54.0490323089,41
59,Pt_000059,48.8613177892,-53.759350617,92
60,Pt_000060,48.7927165034,-57.285099592,516
61,Pt_000061,48.7383892331,-58.3235707164,360
62,Pt_000062,48.7083521531,-58.292033906,315
63,Pt_000063,48.6792967518,-54.0910374767,161
64,Pt_000064,48.6813313191,-53.667205064,60
