KeyID,Name,Latitude,Longitude,Elevation,InternalID,Province,Period,UseIt,DataFileName,MergedStationIDs,USAF_ID,WBAN_ID,Country,State,DEMElevation
1108447H,Vancouver Int'L A (BC),49.195,-123.182,4.3,889,BC,1953-01-01|2013-06-13,1,Vancouver Int L A (BC) [1108447H].csv,1108447D+1108473D+1108447H+1108395H+1108380H+1108395D+1108380D,,,,,
6034075H,Kenora A (ON),49.7903,-94.3653,409.7,3960,ON,1953-01-01|2013-02-14,1,Kenora A (ON) [6034075H].csv,6034075H+6034073H+6034075D+6034073D+6034076H+6034076D,,,,,
7055120H,Mont-Joli A (QC),48.6,-68.2167,52.4,5814,QC,1953-01-01|2013-03-14,1,Mont-Joli A (QC) [7055120H].csv,7055120D+7055120H+7055121H+7055121D,,,,,
1021830H,Comox A (BC),49.7167,-124.9,25.6,155,BC,1953-01-01|2015-11-24,1,Comox A (BC) [1021830H].csv,1021830D+1021830H,,,,,
3012205H,Edmonton Int'L A (AB),53.3167,-113.583,723.3,1865,AB,1961-01-01|2012-04-12,1,Edmonton Int L A (AB) [3012205H].csv,3012205H+3012206H+3012205D+3012206D+3012216H+3012216D,,,,,
6106000H,Ottawa Macdonald-Cartier Int'L A (ON),45.3225,-75.6692,114,4337,ON,1953-01-01|2011-12-15,1,Ottawa Macdonald-Cartier Int L A (ON) [6106000H].csv,6106000D+6106000H+6106001H+6106001D,,,,,
7025250H,Montreal/Pierre Elliott Trudeau Intl A (QC),45.4667,-73.75,36,5415,QC,1953-01-01|2013-02-14,1,Montreal-Pierre Elliott Trudeau Intl A (QC) [7025250H].csv,7025250H+702S006H+7025250D+702S006D+7026213D+7026073D+7025251H+7025251D,,,,,
6158733H,Toronto Lester B. Pearson Int'L A (ON),43.6772,-79.6306,173.4,5097,ON,1953-01-01|2013-06-13,1,Toronto Lester B  Pearson Int L A (ON) [6158733H].csv,6158733D+6158763D+6158733H+6158731H+6158731D,,,,,
5010480H,Brandon A (MB),49.91,-99.9519,409.4,3471,MB,1958-01-01|2012-12-06,1,Brandon A (MB) [5010480H].csv,5010480D+5010480H+5010490H+5010481H+5010490D+5010481D,,,,,
6073975H,Kapuskasing A (ON),49.4139,-82.4675,226.5,4157,ON,1953-01-01|2014-09-04,1,Kapuskasing A (ON) [6073975H].csv,6073975H+6073980H+6073975D+6073980D+6073960D+6073976H+6073976D,,,,,
1183000H,Fort St-John A (BC),56.2381,-120.74,694.9,1413,BC,1953-01-01|2012-12-06,1,Fort St-John A (BC) [1183000H].csv,1183000D+1180585D+1183000H+1183001H+1183001D,,,,,
6068150H,Sudbury A (ON),46.6256,-80.7978,348.4,4132,ON,1954-01-18|2013-03-14,1,Sudbury A (ON) [6068150H].csv,6068150D+6068150H+6068145H+6068153H+6068145D+6068153D,,,,,
8206500H,Yarmouth A (NS),43.8308,-66.0886,43,6516,NS,1953-01-01|2012-04-12,1,Yarmouth A (NS) [8206500H].csv,8206500D+8201336D+8206500H+8206495H+8206491H+8206495D+8206491D,,,,,
8205700H,Sydney A (NS),46.1667,-60.0481,61.9,6486,NS,1953-01-01|2014-08-07,1,Sydney A (NS) [8205700H].csv,8205700H+8205702H+8205700D+8205702D+8205701H+8205701D,,,,,
1018620H,Victoria Int'L A (BC),48.6472,-123.426,19.5,118,BC,1953-01-01|2013-07-11,1,Victoria Int L A (BC) [1018620H].csv,1018620D+1016940D+1018620H+1018621H+1018621D,,,,,
4016560H,Regina Int'L A (SK),50.4333,-104.667,577.6,3002,SK,1953-01-01|2013-10-10,1,Regina Int L A (SK) [4016560H].csv,4016560H+4016699H+4016560D+4016699D+401R001D+4016570D+4016565D+4016566H,,,,,
2204100H,Yellowknife A (NT),62.4628,-114.44,205.7,1706,NT,1953-01-01|2013-01-17,1,Yellowknife A (NT) [2204100H].csv,2204100D+2204155D+2204110D+2204100H+2204101H+2204101D,,,,,
8501900H,Goose A (NL),53.3167,-60.4167,48.8,6777,NL,1953-01-01|2015-11-25,1,Goose A (NL) [8501900H].csv,8501900D+8501900H,,,,,
4012400H,Estevan A (SK),49.2167,-102.967,580.3,2896,SK,1953-01-01|2015-02-12,1,Estevan A (SK) [4012400H].csv,4012400D+4012400H+4012410H+4012401H+4012410D+4012401D,,,,,
