Year,Month,Day,Tmin,Tair,Tmax,Prcp,Snow,SnDh
2008,1,1,-9.0,-6.0,-3.0,2.0,2.0,74.0
2008,1,2,-19.0,-14.5,-10.0,0.0,0.0,76.0
2008,1,3,-25.0,-19.0,-13.0,2.0,2.0,76.0
2008,1,4,-22.0,-13.0,-4.0,1.0,1.0,78.0
2008,1,5,-5.0,-2.5,0.0,0.0,0.0,78.0
2008,1,6,-2.0,0.0,2.0,0.0,0.0,78.0
2008,1,7,0.5,2.3,4.0,8.5,0.0,75.0
2008,1,8,2.0,3.5,5.0,16.5,0.0,74.0
2008,1,9,0.0,4.0,8.0,0.0,0.0,70.0
2008,1,10,-2.0,0.1,2.2,1.0,1.0,70.0
2008,1,11,-3.0,0.0,3.0,12.0,12.0,65.0
2008,1,12,-5.0,-1.5,2.0,0.0,0.0,77.0
2008,1,13,-13.5,-8.8,-4.0,0.2,0.2,77.0
2008,1,14,-10.0,-7.0,-4.0,0.2,0.2,65.0
2008,1,15,-9.0,-6.0,-3.0,0.0,0.0,65.0
2008,1,16,-10.5,-5.8,-1.0,0.0,0.0,65.0
2008,1,17,-16.0,-9.0,-2.0,9.0,9.0,65.0
2008,1,18,-6.0,-1.6,2.8,6.0,6.0,74.0
2008,1,19,-10.0,-6.5,-3.0,0.0,0.0,80.0
2008,1,20,-23.0,-19.0,-15.0,0.0,0.0,80.0
2008,1,21,-27.0,-20.0,-13.0,2.0,2.0,80.0
2008,1,22,-22.0,-15.0,-8.0,12.0,12.0,82.0
2008,1,23,-16.0,-11.0,-6.0,3.0,3.0,94.0
2008,1,24,-26.0,-17.5,-9.0,0.0,0.0,94.0
2008,1,25,-29.0,-21.0,-13.0,0.0,0.0,94.0
2008,1,26,-20.0,-15.0,-10.0,0.0,0.0,94.0
2008,1,27,-22.0,-14.3,-6.6,0.4,0.4,94.0
2008,1,28,-14.0,-7.0,0.0,0.0,0.0,94.0
2008,1,29,-14.0,-6.5,1.0,0.2,0.0,94.0
2008,1,30,-5.0,-1.0,3.0,9.4,2.0,94.0
2008,1,31,-13.0,-9.0,-5.0,0.0,0.0,94.0
2008,2,1,-15.0,-10.5,-6.0,52.0,52.0,94.0
2008,2,2,-8.0,-5.5,-3.0,1.0,1.0,110.0
2008,2,3,-17.0,-10.0,-3.0,2.0,2.0,110.0
2008,2,4,-18.0,-8.5,1.0,2.0,2.0,112.0
2008,2,5,-11.0,-6.0,-1.0,12.0,12.0,114.0
2008,2,6,-7.0,-4.0,-1.0,2.0,2.0,126.0
2008,2,7,-14.0,-9.5,-5.0,2.0,2.0,128.0
2008,2,8,-14.0,-9.5,-5.0,0.0,0.0,130.0
2008,2,9,-17.0,-9.0,-1.0,2.0,2.0,130.0
2008,2,10,-4.0,-1.8,0.5,-999.0,-999.0,132.0
2008,2,11,-14.0,-11.5,-9.0,0.0,0.0,140.0
2008,2,12,-21.0,-14.5,-8.0,6.0,6.0,140.0
2008,2,13,-16.0,-10.0,-4.0,9.0,9.0,146.0
2008,2,14,-13.0,-8.5,-4.0,4.0,4.0,155.0
2008,2,15,-16.0,-10.5,-5.0,4.0,4.0,159.0
2008,2,16,-23.0,-16.0,-9.0,2.0,2.0,163.0
2008,2,17,-20.0,-9.3,1.5,4.0,3.0,163.0
2008,2,18,-1.5,3.8,9.0,0.4,0.0,161.0
2008,2,19,-5.0,-3.6,-2.1,5.0,5.0,142.0
2008,2,20,-17.0,-13.5,-10.0,0.0,0.0,146.0
2008,2,21,-26.0,-16.5,-7.0,0.0,0.0,146.0
2008,2,22,-23.0,-14.0,-5.0,0.0,0.0,146.0
2008,2,23,-20.0,-10.5,-1.0,0.0,0.0,146.0
2008,2,24,-19.0,-10.3,-1.5,0.0,0.0,146.0
2008,2,25,-8.0,-3.8,0.5,1.0,1.0,146.0
2008,2,26,-5.0,-2.5,0.0,4.0,4.0,146.0
2008,2,27,-10.0,-6.0,-2.0,1.0,1.0,148.0
2008,2,28,-20.0,-13.5,-7.0,0.0,0.0,148.0
2008,2,29,-28.0,-17.0,-6.0,2.0,2.0,146.0
2008,3,1,-14.0,-7.5,-1.0,4.4,4.4,148.0
2008,3,2,-10.0,-4.0,2.0,0.0,0.0,152.0
2008,3,3,-15.0,-6.5,2.0,1.0,1.0,150.0
2008,3,4,-6.5,-2.8,1.0,9.0,9.0,150.0
2008,3,5,-10.0,-8.5,-7.0,16.4,16.4,162.0
2008,3,6,-20.0,-9.5,1.0,0.0,0.0,176.0
2008,3,7,-7.0,-0.5,6.0,4.0,4.0,168.0
2008,3,8,-5.0,-2.0,1.0,47.0,47.0,172.0
2008,3,9,-9.0,-6.5,-4.0,0.0,0.0,219.0
2008,3,10,-16.0,-8.5,-1.0,0.0,0.0,219.0
2008,3,11,-22.0,-10.0,2.0,2.0,2.0,219.0
2008,3,12,-6.0,-2.0,2.0,1.0,1.0,218.0
2008,3,13,-17.0,-9.5,-2.0,2.0,2.0,218.0
2008,3,14,-9.0,-4.0,1.0,0.0,0.0,220.0
2008,3,15,-9.0,-3.5,2.0,16.0,16.0,220.0
2008,3,16,-4.0,0.5,5.0,0.0,0.0,230.0
