Year,Month,Day,Tmin,Tair,Tmax,Prcp,Tdew,RelH,WndS,WndD
2008,1,1,-8.3,-6.4,-4.5,1.3,-8.3,87.8,12.0,135.2
2008,1,2,-19.7,-13.7,-7.7,0.0,-19.7,57.4,14.2,247.1
2008,1,3,-22.2,-19.6,-16.9,0.0,-26.2,57.5,9.8,259.6
2008,1,4,-20.4,-12.1,-3.8,3.2,-15.1,83.7,7.0,263.9
2008,1,5,-3.9,-2.8,-1.7,0.0,-5.1,87.2,5.2,190.5
2008,1,6,-3.0,-0.7,1.7,2.8,-0.8,97.5,3.3,265.5
2008,1,7,0.9,2.4,3.8,4.0,2.3,99.0,2.8,263.2
2008,1,8,0.9,3.4,5.9,15.6,3.3,99.8,9.0,146.5
2008,1,9,0.0,3.3,6.5,9.6,0.4,89.6,22.3,142.1
2008,1,10,-5.0,-1.3,2.5,0.0,-4.5,69.8,14.9,252.1
2008,1,11,-5.2,-2.8,-0.3,11.6,-4.1,90.8,18.9,100.8
2008,1,12,-7.9,-2.4,3.1,0.0,-4.8,71.6,12.5,242.1
2008,1,13,-12.4,-9.4,-6.4,0.0,-13.4,72.5,8.4,201.7
2008,1,14,-7.8,-6.9,-5.9,0.0,-9.4,82.1,27.0,70.4
2008,1,15,-10.6,-7.9,-5.2,0.0,-10.9,75.1,7.5,180.9
2008,1,16,-14.1,-10.4,-6.6,0.0,-13.5,72.3,8.0,246.7
2008,1,17,-17.4,-10.7,-3.9,0.0,-13.5,77.4,3.3,150.0
2008,1,18,-6.7,-2.3,2.2,15.9,-5.1,81.6,14.8,165.4
2008,1,19,-12.8,-8.6,-4.4,1.0,-11.1,71.4,9.1,259.6
2008,1,20,-23.5,-18.2,-12.8,0.0,-24.7,59.0,8.6,270.8
2008,1,21,-26.3,-22.1,-17.9,0.0,-28.1,57.5,8.5,261.3
2008,1,22,-21.3,-15.2,-9.0,11.4,-15.6,85.2,5.7,103.8
2008,1,23,-22.7,-14.4,-6.1,1.2,-14.2,77.9,10.5,248.8
2008,1,24,-25.2,-20.5,-15.7,0.0,-24.8,65.5,5.4,261.3
2008,1,25,-25.4,-19.0,-12.6,0.0,-20.9,79.1,6.2,248.8
2008,1,26,-19.5,-13.6,-7.7,0.0,-16.0,75.5,5.5,229.1
2008,1,27,-20.1,-13.7,-7.3,0.0,-14.3,84.2,9.1,67.5
2008,1,28,-16.0,-11.0,-5.9,1.2,-12.4,83.8,6.4,74.6
2008,1,29,-11.3,-7.5,-3.6,0.0,-8.4,88.8,15.0,92.5
2008,1,30,-10.2,-4.2,1.8,20.3,-4.2,88.1,18.5,140.8
2008,1,31,-14.5,-10.9,-7.3,0.0,-15.5,62.8,16.8,241.3
2008,2,1,-16.8,-12.1,-7.4,22.8,-12.5,86.1,18.8,110.8
2008,2,2,-10.6,-7.2,-3.8,10.6,-8.0,88.8,19.2,175.8
2008,2,3,-16.7,-11.4,-6.1,0.0,-11.7,86.4,6.4,244.8
2008,2,4,-17.2,-11.1,-4.9,0.0,-13.1,83.7,3.9,191.3
2008,2,5,-10.5,-6.1,-1.7,14.7,-4.9,95.7,15.4,99.6
2008,2,6,-10.2,-6.6,-3.0,0.0,-7.2,87.2,4.3,264.8
2008,2,7,-12.0,-11.0,-10.0,0.0,-13.6,82.0,21.1,70.0
2008,2,8,-17.6,-12.2,-6.8,1.0,-11.9,85.8,7.5,171.3
2008,2,9,-16.7,-10.1,-3.5,1.2,-10.8,86.0,5.0,168.0
2008,2,10,-8.1,-5.3,-2.4,17.6,-4.0,95.8,14.9,111.7
2008,2,11,-15.9,-12.0,-8.1,1.2,-15.1,80.3,19.5,245.8
2008,2,12,-20.2,-16.8,-13.3,0.0,-20.5,69.6,12.0,228.3
2008,2,13,-14.5,-9.7,-4.9,13.4,-9.4,89.5,19.1,73.3
2008,2,14,-13.3,-9.0,-4.6,0.0,-11.8,72.8,8.5,246.7
2008,2,15,-18.9,-10.9,-2.8,6.0,-12.4,76.6,8.2,215.4
2008,2,16,-26.0,-19.9,-13.7,0.0,-23.8,62.8,8.8,255.2
2008,2,17,-24.4,-12.4,-0.4,10.0,-14.0,80.2,5.0,85.0
2008,2,18,-0.4,2.7,5.8,3.0,0.4,90.8,10.0,161.7
2008,2,19,-9.5,-4.2,1.2,5.7,-5.5,84.0,13.4,244.2
2008,2,20,-17.2,-13.4,-9.5,0.0,-20.3,58.8,10.3,271.7
2008,2,21,-22.7,-17.7,-12.6,0.0,-22.2,61.8,9.5,251.3
2008,2,22,-25.6,-16.2,-6.7,0.0,-18.2,75.6,2.6,270.5
2008,2,23,-21.8,-13.7,-5.5,0.0,-15.3,76.3,8.7,246.7
2008,2,24,-12.3,-6.8,-1.3,0.0,-10.3,77.4,10.9,242.1
2008,2,25,-4.6,-2.4,-0.2,0.0,-5.8,79.9,7.4,244.6
2008,2,26,-5.6,-4.1,-2.5,7.0,-5.2,90.6,16.8,123.8
2008,2,27,-12.9,-8.9,-4.8,3.6,-8.1,88.0,17.2,117.1
2008,2,28,-20.6,-15.3,-10.0,1.2,-21.5,55.9,10.8,269.6
2008,2,29,-28.1,-19.4,-10.7,2.3,-23.9,56.0,6.8,202.1
2008,3,1,-11.8,-8.4,-5.0,8.6,-9.8,88.0,21.1,64.2
2008,3,2,-11.1,-6.5,-1.8,5.2,-11.4,64.1,9.2,279.2
2008,3,3,-16.8,-7.6,1.6,0.0,-9.3,83.0,6.0,147.5
2008,3,4,-8.9,-3.3,2.3,2.4,-7.7,68.0,12.3,255.4
2008,3,5,-11.3,-9.8,-8.2,23.2,-11.8,85.5,33.0,102.5
2008,3,6,-13.7,-7.8,-1.9,3.2,-11.5,80.8,7.3,222.4
2008,3,7,-10.7,-3.6,3.5,0.0,-5.1,78.2,4.5,170.0
2008,3,8,-8.0,-3.9,0.2,11.0,-3.8,94.8,27.4,73.8
2008,3,9,-20.1,-13.8,-7.4,13.4,-10.2,92.8,22.5,144.6
2008,3,10,-24.0,-16.0,-8.0,0.0,-15.8,88.5,8.2,249.6
2008,3,11,-19.7,-11.9,-4.0,1.6,-11.1,90.8,7.9,244.6
2008,3,12,-13.3,-6.5,0.3,2.2,-5.4,93.9,8.3,273.6
2008,3,13,-18.9,-13.3,-7.7,0.0,-14.6,79.1,8.3,213.5
2008,3,14,-9.5,-7.7,-5.8,0.0,-9.0,90.0,22.9,71.3
2008,3,15,-7.1,-4.7,-2.3,7.6,-5.0,94.2,19.8,74.2
2008,3,16,-6.7,-2.4,1.9,0.0,-2.8,92.3,7.8,235.5
2008,3,17,-17.7,-9.7,-1.7,0.0,-10.7,75.2,8.0,250.4
2008,3,18,-20.7,-10.7,-0.6,0.0,-12.6,75.5,5.2,126.8
2008,3,19,-4.5,-2.3,0.0,10.4,-2.7,92.8,16.5,78.8
2008,3,20,-3.6,-2.1,-0.6,3.6,-1.4,98.9,15.2,105.8
2008,3,21,-8.8,-6.2,-3.6,1.0,-7.8,91.4,16.0,284.6
2008,3,22,-11.0,-7.9,-4.8,3.4,-9.2,90.2,14.9,285.8
2008,3,23,-22.1,-15.1,-8.1,0.0,-14.8,77.7,11.8,269.6
2008,3,24,-26.2,-17.3,-8.4,0.0,-19.5,71.2,8.2,257.5
2008,3,25,-25.9,-13.7,-1.4,1.2,-14.9,76.4,4.6,194.3
2008,3,26,-8.8,-3.6,1.7,6.5,-2.1,92.8,10.3,230.4
2008,3,27,-13.7,-6.8,0.2,4.6,-6.7,89.9,5.6,248.3
2008,3,28,-10.5,-6.7,-2.9,1.6,-8.3,84.0,12.8,75.4
2008,3,29,-11.3,-7.0,-2.7,2.5,-9.4,78.6,7.9,285.0
2008,3,30,-11.8,-5.6,0.6,0.0,-8.5,78.0,7.2,252.5
2008,3,31,-11.0,-4.9,1.3,6.1,-3.9,90.0,6.0,113.3
2008,4,1,0.0,1.4,2.8,18.2,0.4,98.7,16.8,90.4
2008,4,2,-6.0,-2.3,1.4,0.0,-6.6,74.8,18.5,280.8
2008,4,3,-6.4,-1.4,3.7,0.0,-4.4,77.8,13.3,247.1
2008,4,4,-6.7,-0.9,5.0,7.1,-2.7,79.4,7.5,167.1
2008,4,5,0.4,1.3,2.2,4.2,0.7,97.4,13.1,77.5
2008,4,6,-0.3,2.0,4.2,0.0,0.6,90.1,13.3,68.3
2008,4,7,-1.1,2.4,5.9,1.0,-1.2,74.7,15.2,71.3
2008,4,8,-2.5,2.4,7.2,0.0,-3.2,63.3,7.9,76.7
2008,4,9,-3.2,2.8,8.8,0.0,-2.0,68.6,6.2,52.9
2008,4,10,2.2,5.3,8.3,0.0,-1.2,66.5,12.6,260.0
2008,4,11,0.7,3.2,5.7,1.0,-2.9,66.6,8.9,225.8
2008,4,12,-0.1,0.7,1.5,12.8,0.1,97.2,22.5,65.2
2008,4,13,-1.8,1.5,4.7,2.6,-0.7,84.6,6.5,227.8
2008,4,14,-2.1,2.9,7.8,0.0,-5.9,55.2,7.6,313.0
2008,4,15,-2.4,2.8,7.9,0.0,-6.7,50.1,10.2,244.2
2008,4,16,-2.3,5.5,13.3,0.0,-3.3,52.7,7.2,242.1
2008,4,17,0.4,10.0,19.5,0.0,-2.8,44.5,5.4,257.5
2008,4,18,2.2,6.7,11.1,0.0,0.4,61.4,15.2,99.6
2008,4,19,2.9,4.9,6.9,0.0,-0.2,67.2,24.7,77.9
2008,4,20,2.8,6.4,10.0,0.0,-0.2,65.2,21.5,79.2
2008,4,21,3.1,7.2,11.3,0.0,2.2,74.6,18.3,73.8
2008,4,22,3.1,8.7,14.3,0.0,3.3,72.5,9.7,73.3
2008,4,23,2.6,8.5,14.3,1.1,3.3,82.0,13.3,69.2
2008,4,24,2.5,9.8,17.1,0.0,0.0,60.2,8.5,232.6
2008,4,25,1.1,7.1,13.0,0.0,-1.0,56.0,13.0,115.8
2008,4,26,4.5,9.8,15.0,0.0,0.0,54.0,19.5,72.5
2008,4,27,6.3,9.9,13.4,0.0,4.7,73.3,14.0,77.9
2008,4,28,5.6,8.8,11.9,21.2,5.7,86.9,19.8,79.2
2008,4,29,0.3,4.1,7.8,33.8,4.9,95.6,11.8,152.9
2008,4,30,-1.1,3.1,7.3,1.0,-3.0,67.9,9.0,213.8
2008,5,1,-999.0,2.2,-999.0,-999.0,-3.7,67.7,4.9,133.5
2008,5,2,-1.9,4.5,10.9,0.0,-4.5,52.3,10.6,130.4
2008,5,3,3.5,6.5,9.5,0.0,1.6,71.5,20.5,80.4
2008,5,4,6.6,7.9,9.2,6.0,5.5,85.3,8.9,90.8
2008,5,5,5.8,11.2,16.5,0.0,1.7,58.5,9.1,231.7
2008,5,6,4.1,12.1,20.1,0.0,1.4,51.3,7.8,170.8
2008,5,7,6.1,11.1,16.0,5.4,-1.9,41.3,8.0,246.7
2008,5,8,7.1,11.1,15.1,6.2,5.2,73.9,9.9,187.5
2008,5,9,5.0,10.8,16.5,0.0,-0.5,49.2,11.6,195.8
2008,5,10,5.7,9.3,12.8,0.0,2.4,64.1,23.1,73.3
2008,5,11,5.5,10.0,14.4,0.0,2.7,66.6,20.3,68.3
2008,5,12,6.8,11.6,16.3,0.0,2.1,55.5,18.5,65.4
2008,5,13,6.9,13.5,20.1,0.0,0.3,44.2,8.3,72.5
2008,5,14,6.9,15.9,24.9,0.0,1.3,38.7,7.7,86.7
2008,5,15,6.8,12.2,17.5,0.0,4.3,52.5,8.1,232.9
2008,5,16,4.9,11.6,18.2,0.0,-0.4,47.0,5.9,209.6
2008,5,17,4.9,11.4,17.9,0.0,1.1,49.8,11.9,85.0
2008,5,18,7.8,13.7,19.6,2.6,4.0,54.9,9.3,221.7
2008,5,19,7.6,9.7,11.8,5.1,6.0,78.9,10.7,239.2
2008,5,20,5.6,9.9,14.2,0.0,2.5,63.6,10.9,260.0
2008,5,21,5.6,10.7,15.7,21.0,5.6,75.3,8.1,120.0
2008,5,22,6.5,9.1,11.6,8.8,6.1,83.7,4.5,153.2
2008,5,23,8.2,12.3,16.3,1.0,5.1,64.5,7.8,244.2
2008,5,24,6.9,13.3,19.6,0.0,0.9,46.4,7.7,319.2
2008,5,25,6.7,14.8,22.9,0.0,0.4,38.2,12.3,241.3
2008,5,26,11.8,13.7,15.5,3.8,7.9,69.7,9.1,215.4
2008,5,27,5.6,10.1,14.5,12.6,3.6,60.7,11.0,278.8
2008,5,28,2.5,9.3,16.1,0.0,-1.7,45.7,11.8,251.3
2008,5,29,7.5,12.6,17.7,0.0,-0.5,41.5,15.8,272.1
2008,5,30,4.4,11.4,18.4,0.0,-0.3,45.6,6.8,256.4
2008,5,31,9.6,10.8,11.9,7.8,7.5,80.7,14.2,89.6
2008,6,1,9.4,10.9,12.4,3.6,8.5,89.5,11.3,108.3
2008,6,2,9.4,14.1,18.8,6.6,8.4,74.2,7.5,160.0
2008,6,3,8.8,13.7,18.6,1.0,8.1,72.7,6.4,251.7
2008,6,4,9.3,13.4,17.4,0.0,2.5,50.2,19.3,77.5
2008,6,5,10.3,15.6,20.8,0.0,2.9,45.5,18.5,75.8
2008,6,6,13.0,16.0,19.0,0.0,10.6,69.6,6.6,137.9
2008,6,7,16.0,22.7,29.4,2.4,16.0,73.5,6.1,209.1
2008,6,8,18.8,24.6,30.4,11.4,18.2,72.7,9.4,242.9
2008,6,9,14.4,17.4,20.3,0.0,11.5,66.9,14.6,94.6
2008,6,10,13.5,21.1,28.7,16.4,14.9,78.6,9.3,103.8
2008,6,11,12.8,17.9,23.0,2.4,13.3,73.8,11.0,250.0
2008,6,12,10.3,16.4,22.5,0.0,3.3,46.3,7.8,293.8
2008,6,13,8.2,15.7,23.2,0.0,4.5,45.3,6.5,145.8
2008,6,14,13.4,18.6,23.8,6.8,6.6,49.4,15.5,70.8
2008,6,15,12.2,15.5,18.8,54.3,12.5,84.7,17.1,68.8
2008,6,16,13.6,15.6,17.5,4.0,13.6,88.5,14.7,69.2
2008,6,17,14.4,17.3,20.1,4.4,14.1,86.6,9.3,88.7
2008,6,18,13.3,15.9,18.4,10.7,12.4,85.9,8.8,141.7
2008,6,19,13.5,15.6,17.7,5.0,12.7,87.8,9.8,92.5
2008,6,20,13.4,17.4,21.4,5.4,12.2,77.2,6.2,217.1
2008,6,21,12.7,18.0,23.3,0.0,13.2,76.3,5.5,240.8
2008,6,22,13.3,16.3,19.3,11.8,14.7,89.5,7.5,97.5
2008,6,23,15.1,19.0,22.9,3.8,15.3,85.1,4.1,144.8
2008,6,24,15.2,19.9,24.6,0.0,12.1,66.8,9.3,254.2
2008,6,25,12.5,19.1,25.6,8.6,10.6,59.9,9.7,242.5
2008,6,26,15.4,18.0,20.6,3.6,15.8,89.4,5.0,221.7
2008,6,27,13.3,16.6,19.9,0.0,13.5,84.8,15.8,78.3
2008,6,28,13.4,15.8,18.2,29.1,13.5,88.9,20.7,70.8
2008,6,29,14.6,15.9,17.1,14.0,13.9,92.2,19.0,72.1
2008,6,30,14.5,19.8,25.0,3.9,14.0,72.1,9.8,180.8
2008,7,1,16.2,20.5,24.7,0.0,11.4,58.8,9.0,232.1
2008,7,2,12.8,19.7,26.6,1.0,11.2,56.4,8.0,230.4
2008,7,3,11.3,16.9,22.4,28.4,12.5,71.0,7.8,230.9
2008,7,4,8.7,16.2,23.7,2.4,10.1,69.8,7.0,245.8
2008,7,5,11.4,18.7,25.9,0.0,11.7,65.0,6.2,224.5
2008,7,6,14.1,20.5,26.8,0.0,12.8,60.4,8.3,232.1
2008,7,7,16.3,22.7,29.1,0.0,14.6,60.2,8.0,240.8
2008,7,8,19.2,24.5,29.8,0.0,17.2,64.2,7.7,239.6
2008,7,9,21.2,22.1,23.0,12.4,20.1,87.9,7.2,215.8
2008,7,10,14.0,18.4,22.7,4.8,14.5,72.6,10.1,255.0
2008,7,11,12.6,17.7,22.8,0.0,10.0,62.1,7.1,252.1
2008,7,12,11.4,18.7,25.9,0.0,11.0,61.3,4.6,176.1
2008,7,13,18.0,20.5,22.9,37.3,18.0,86.7,9.4,147.9
2008,7,14,16.5,20.4,24.3,0.0,15.3,71.6,10.5,223.8
2008,7,15,15.9,19.9,23.8,0.0,14.2,70.5,8.6,233.8
2008,7,16,13.7,19.4,25.0,0.0,14.1,70.9,4.9,191.3
2008,7,17,14.6,20.3,25.9,0.0,13.0,66.3,5.5,246.7
2008,7,18,16.2,17.8,19.4,0.0,15.3,83.6,6.5,94.6
2008,7,19,14.8,19.9,24.9,17.2,15.5,77.7,5.6,185.2
2008,7,20,14.7,19.1,23.4,0.0,15.1,81.4,3.5,246.1
2008,7,21,14.4,17.8,21.2,0.0,14.5,81.6,15.2,104.2
2008,7,22,15.8,18.6,21.3,0.0,14.9,84.5,20.6,71.3
2008,7,23,17.1,19.0,20.9,4.2,15.7,82.9,19.8,70.0
2008,7,24,17.5,21.3,25.1,18.2,17.5,86.0,13.7,85.8
2008,7,25,16.9,21.3,25.6,1.4,15.5,71.1,7.7,202.5
2008,7,26,14.9,21.4,27.9,2.2,15.5,71.0,6.2,221.8
2008,7,27,16.0,20.7,25.4,0.0,15.4,72.0,8.5,220.4
