Variable,EqName,P,Eq,Math,AICc,maxLL
Egg,Regniere_2012,psi=4.295045e-02 k=8.370225e-02 Tb=2.827326e+00 Tm=2.600000e+01 deltab=1.312312e+00 deltam=5.000000e-01 sigma=0.134791,"ifelse(T>Tb&T<Tm,psi*(exp(k*(T-Tb))-((Tm-T)/(Tm-Tb))*exp(-k*(T-Tb)/deltab)-((T-Tb)/(Tm-Tb))*exp(k*(Tm-Tb)-(Tm-T)/deltam)),0)","psi~bgroup('[',e^{~k~bgroup('(',T~-~T[b],')')}~-~bgroup('(',scriptstyle(bgroup('(',over(T[m]~-~T,T[m]~-~T[b]),')'))~e^{-~k~bgroup('(',over(T~-~T[b], Delta[T[b]]) ,')')},')')~-~scriptstyle(bgroup('(',over(T~-~T[b],T[m]~-~T[b]),')'))~e^{k~bgroup('(',T[m]~-~T[b],')')~-~bgroup('(',over(T[m]~-~T, Delta[T[m]]) ,')')},']')",1351.74,-668.705
Egg,Regniere_2012,psi=4.516113e-02 k=8.114548e-02 Tb=2.786580e+00 Tm=2.800000e+01 deltab=1.454592e+00 deltam=5.000000e-01 sigma=0.134773,"ifelse(T>Tb&T<Tm,psi*(exp(k*(T-Tb))-((Tm-T)/(Tm-Tb))*exp(-k*(T-Tb)/deltab)-((T-Tb)/(Tm-Tb))*exp(k*(Tm-Tb)-(Tm-T)/deltam)),0)","psi~bgroup('[',e^{~k~bgroup('(',T~-~T[b],')')}~-~bgroup('(',scriptstyle(bgroup('(',over(T[m]~-~T,T[m]~-~T[b]),')'))~e^{-~k~bgroup('(',over(T~-~T[b], Delta[T[b]]) ,')')},')')~-~scriptstyle(bgroup('(',over(T~-~T[b],T[m]~-~T[b]),')'))~e^{k~bgroup('(',T[m]~-~T[b],')')~-~bgroup('(',over(T[m]~-~T, Delta[T[m]]) ,')')},']')",1351.77,-668.722
Egg,Hansen_2011,psi=1.406859e-01 k=4.652003e-02 Tb=2.445663e+00 Tm=3.000000e+01 deltaT=6.509022e-02 sigma=0.135559,"psi*((exp(k*(T-Tb))-1)-(exp(k*(Tm-Tb))-1)*exp((T-Tm)/deltaT))","psi~bgroup('{',bgroup('[',e^{k~(T-T[m])}-1,']')~-~bgroup('[',e^{k~(T[m]-T[b])}-1,']')~e^{bgroup('(',over(T~-~T[m], Delta[T]) ,')')}, '}')",1354.1,-670.929
Egg,Hansen_2011,psi=1.407078e-01 k=4.651519e-02 Tb=2.445795e+00 Tm=2.600000e+01 deltaT=1.839919e-02 sigma=0.135559,"psi*((exp(k*(T-Tb))-1)-(exp(k*(Tm-Tb))-1)*exp((T-Tm)/deltaT))","psi~bgroup('{',bgroup('[',e^{k~(T-T[m])}-1,']')~-~bgroup('[',e^{k~(T[m]-T[b])}-1,']')~e^{bgroup('(',over(T~-~T[m], Delta[T]) ,')')}, '}')",1354.1,-670.929
Egg,Hansen_2011,psi=1.414482e-01 k=4.635443e-02 Tb=2.450610e+00 Tm=2.800000e+01 deltaT=1.103940e-01 sigma=0.135556,"psi*((exp(k*(T-Tb))-1)-(exp(k*(Tm-Tb))-1)*exp((T-Tm)/deltaT))","psi~bgroup('{',bgroup('[',e^{k~(T-T[m])}-1,']')~-~bgroup('[',e^{k~(T[m]-T[b])}-1,']')~e^{bgroup('(',over(T~-~T[m], Delta[T]) ,')')}, '}')",1354.1,-670.93
Egg,Hansen_2011,psi=1.420287e-01 k=4.622661e-02 Tb=2.453884e+00 Tm=3.200000e+01 deltaT=2.747085e-01 sigma=0.135553,"psi*((exp(k*(T-Tb))-1)-(exp(k*(Tm-Tb))-1)*exp((T-Tm)/deltaT))","psi~bgroup('{',bgroup('[',e^{k~(T-T[m])}-1,']')~-~bgroup('[',e^{k~(T[m]-T[b])}-1,']')~e^{bgroup('(',over(T~-~T[m], Delta[T]) ,')')}, '}')",1354.11,-670.932
Egg,Analytis_1977,psi=2.437248e-03 k1=1.458105e+00 k2=1.000000e-03 Tb=1.094276e+00 Tm=3.200000e+01 sigma=0.136769,"psi*pmax(0,T-Tb)^k1*pmax(0,Tm-T)^k2","psi~bgroup('(',T-T[b],')')^k[1]~bgroup('(',T[m]-T,')')^k[2]",1360.76,-674.257
Egg,Analytis_1977,psi=2.436335e-03 k1=1.458282e+00 k2=1.000000e-03 Tb=1.093735e+00 Tm=3.000000e+01 sigma=0.136773,"psi*pmax(0,T-Tb)^k1*pmax(0,Tm-T)^k2","psi~bgroup('(',T-T[b],')')^k[1]~bgroup('(',T[m]-T,')')^k[2]",1360.77,-674.265
Egg,Analytis_1977,psi=2.431492e-03 k1=1.458964e+00 k2=1.000000e-03 Tb=1.090461e+00 Tm=2.800000e+01 sigma=0.136778,"psi*pmax(0,T-Tb)^k1*pmax(0,Tm-T)^k2","psi~bgroup('(',T-T[b],')')^k[1]~bgroup('(',T[m]-T,')')^k[2]",1360.8,-674.279
Egg,Analytis_1977,psi=2.427594e-03 k1=1.459555e+00 k2=1.000000e-03 Tb=1.087993e+00 Tm=2.600000e+01 sigma=0.13679,"psi*pmax(0,T-Tb)^k1*pmax(0,Tm-T)^k2","psi~bgroup('(',T-T[b],')')^k[1]~bgroup('(',T[m]-T,')')^k[2]",1360.85,-674.305
