KeyID,Name,Latitude,Longitude,Elevation,Network,Country,SubDivision
Pockwock,Pockwock,44.7743134922,-63.8375028571,172,Nova Scotia Fire,CAN,NS
OnslowMtn,OnslowMtn,45.4290141049,-63.3424079023,47,Nova Scotia Fire,CAN,NS
Coxheath,Coxheath,46.1054719626,-60.2744492077,75,Nova Scotia Fire,CAN,NS
EastKempt,EastKempt,44.0793455636,-65.7789238051,124,Nova Scotia Fire,CAN,NS
McLellansBrk,McLellansBrk,45.5635276675,-62.6088385799,48,Nova Scotia Fire,CAN,NS
EastKemptville,East Kemptville,44.0801234177,-65.7782422156,120,Nova Scotia Fire,CAN,NS
Oxford,Oxford,45.7645761486,-63.9625308638,78,Nova Scotia Fire,CAN,NS
McLellanBrook,McLellan's Brook,45.5633381772,-62.6097165132,47,Nova Scotia Fire,CAN,NS
OnslowMountain,Onslow Mountain,45.4280601042,-63.3424932009,43,Nova Scotia Fire,CAN,NS
NormanTower,Norman Tower,46.4286167327,-60.6794375974,468,Nova Scotia Fire,CAN,NS
Chignecto,Chignecto,45.602529348,-64.3511864602,14,Nova Scotia Fire,CAN,NS
Stanley,Stanley,45.09305705,-63.9197208024,19,Nova Scotia Fire,CAN,NS
GardenEden,Garden of Eden,45.3505606108,-62.2411054183,151,Nova Scotia Fire,CAN,NS
Milton,Milton,44.1844443886,-64.8247142078,99,Nova Scotia Fire,CAN,NS
KeppochMountain,Keppoch Mountain,45.4758381909,-62.0991638971,182,Nova Scotia Fire,CAN,NS
Trafalgar,Trafalgar,45.2798152539,-62.6306534608,148,Nova Scotia Fire,CAN,NS
KeizerMeadows,Keizer Meadows,44.7280592875,-64.2205519037,158,Nova Scotia Fire,CAN,NS
SouthRange,South Range,44.4963954334,-65.7691645995,153,Nova Scotia Fire,CAN,NS
UpperOhio,Upper Ohio,43.9494522231,-65.3969419068,63,Nova Scotia Fire,CAN,NS
FalklandRidge,Falkland Ridge,44.6619450397,-64.8511057784,193,Nova Scotia Fire,CAN,NS
Lawrencetown,Lawrencetown,44.8903535533,-65.1678468128,27,Nova Scotia Fire,CAN,NS
Stillwater,Stillwater,45.1709940795,-61.9694981333,73,Nova Scotia Fire,CAN,NS
MeaghersHill,Meaghers Hill,45.4912066692,-61.5268089963,148,Nova Scotia Fire,CAN,NS
Marinette,Marinette,44.9691704646,-62.6633223715,137,Nova Scotia Fire,CAN,NS
WestTatamagouche,West Tatamagouche,45.7102322438,-63.4033339247,44,Nova Scotia Fire,CAN,NS
GrandRiverFalls,Grand River Falls,45.6690836263,-60.652530688,33,Nova Scotia Fire,CAN,NS
MacLeodSettlement,MacLeod Settlement,45.9262985978,-61.3380819232,147,Nova Scotia Fire,CAN,NS
Margaree,Margaree,46.3310273477,-61.002099415,25,Nova Scotia Fire,CAN,NS
EconomyLake,Economy Lake,45.4880051574,-63.8019979524,261,Nova Scotia Fire,CAN,NS
JohnsonHill,Johnson Hill,44.7900098577,-63.2869964303,122,Nova Scotia Fire,CAN,NS
Shubenacadie,Shubenacadie,45.0940035783,-63.39599465,23,Nova Scotia Fire,CAN,NS
SouthAlton,South Alton,45.0090026457,-64.5379954115,227,Nova Scotia Fire,CAN,NS
WestClifford,West Clifford,44.4260056617,-64.7579953426,115,Nova Scotia Fire,CAN,NS
NorthMountain,North Mountain,46.8180052909,-60.6709928591,449,Nova Scotia Fire,CAN,NS
